시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.14(일) 23:02,2026.06.15(월) 00:00,talk,전체,한탕 서버 D-1일이야,1,8,6,182,1,
2026.06.14(일) 06:59,2026.06.14(일) 11:06,리그 오브 레전드|음악/노래|성세천하: 여제의 탄생 Ⅱ|talk,전체,오늘 키스데이래 일루와잇,4.1,23,14,602,-1,
2026.06.12(금) 07:52,2026.06.12(금) 11:06,승리의 여신: 니케|talk,전체,오랜만이야~~~~~~~,3.2,18,13,672,0,
2026.06.10(수) 12:02,2026.06.10(수) 13:06,talk,전체,스쿼트 200개 야-호,1.1,24,18,450,0,
2026.06.10(수) 07:13,2026.06.10(수) 10:54,명조:워더링 웨이브|talk,전체,오늘 드디어 달 가요,3.7,19,11,453,1,
2026.06.09(화) 06:11,2026.06.09(화) 11:30,명조:워더링 웨이브|승리의 여신: 니케|이용약관에 동의하고 싶어|talk,전체,아따따 나루와따,5.3,20,14,575,0,
2026.06.08(월) 10:00,2026.06.08(월) 14:42,명조:워더링 웨이브|talk,전체,방송 이틀 안켰는데 삼전이 사라졌다,4.7,25,18,1010,-1,
2026.06.05(금) 11:01,2026.06.05(금) 17:36,마인크래프트,전체,[짜다서버] 다이아 제출 2등 이래여 곧 탈출 고고,6.6,21,17,1712,1,
2026.06.05(금) 10:03,2026.06.05(금) 10:54,talk,전체,나루의한탕 설명회,0.8,23,15,221,3,
2026.06.04(목) 10:43,2026.06.04(목) 15:18,마인크래프트|talk,전체,식중독에서 벗어나는 방법이 있나요,4.6,21,18,1247,-1,
2026.06.03(수) 10:31,2026.06.03(수) 17:42,마인크래프트|talk,전체,방제도 안바꾸고 헥헥,7.2,19,15,1069,5,
2026.06.02(화) 09:54,2026.06.02(화) 14:00,talk,전체,두에빌 앙앙ㅇ ㅠㅠㅠㅠㅠㅠ,4.1,19,15,772,0,
2026.06.01(월) 11:00,2026.06.01(월) 16:24,마인크래프트,전체,[짜다서버] 벌칙 촉슈오이,5.4,19,16,1148,2,
2026.06.01(월) 07:51,2026.06.01(월) 09:12,승리의 여신: 니케,전체,포니테일 +오피?스룩,1.3,19,15,408,-1,
2026.05.31(일) 06:51,2026.05.31(일) 14:06,승리의 여신: 니케|마인크래프트|talk,전체,솔레 치는날이야,7.2,25,19,1507,0,
2026.05.30(토) 09:01,2026.05.30(토) 11:54,음악/노래|승리의 여신: 니케|talk,전체,파라파라나 춰야지,2.9,20,15,838,-2,
2026.05.29(금) 09:48,2026.05.29(금) 12:54,talk,전체,다팔고 삼전사왔어,3.1,22,18,1025,-1,
2026.05.26(화) 10:00,2026.05.26(화) 14:18,talk,전체,홀리 몰리 휘이이잉,4.3,36,26,1531,1,
2026.05.25(월) 09:59,2026.05.25(월) 12:18,talk,전체,이제 여름다왔다,2.3,27,19,764,0,
2026.05.24(일) 10:02,2026.05.24(일) 12:54,talk,성인,오이가 멸종했으면 하는날,2.9,28,20,219,0,
2026.05.22(금) 03:03,2026.05.22(금) 10:18,림월드|talk,전체,12시간 방송하는날 ผ(•̀_•́ผ),7.2,27,20,810,2,
2026.05.20(수) 09:59,2026.05.20(수) 15:54,음악/노래|림월드|talk,전체,여자아이의날 상태 허리 아픔,5.9,27,21,1125,0,
2026.05.19(화) 23:29,2026.05.20(수) 02:00,talk,전체,아침 뉴스 깔짝 공장,2.5,19,14,651,-2,
2026.05.19(화) 10:04,2026.05.19(화) 15:18,림월드|전략적 팀 전투 : 우주의 신들|talk,전체,"KODEX NARU-3000 7,300 -3.1%",5.2,26,19,875,-3,
2026.05.18(월) 09:57,2026.05.18(월) 15:18,림월드|talk,전체,세상이 파란색이예요 정치발언 아님,5.3,31,23,1360,1,
2026.05.17(일) 10:05,2026.05.17(일) 12:54,talk,전체,어깨에서 사서 무릎에서 생각하기,2.8,21,17,1002,0,
2026.05.16(토) 23:10,2026.05.17(일) 01:36,talk,전체,아침을 열고 닫기,2.4,27,20,580,0,
2026.05.16(토) 09:55,2026.05.16(토) 13:48,음악/노래|전략적 팀 전투 : 우주의 신들|talk,전체,일주일 휴방동안 삼성과 sk하이닉스를 구매했는데 -8% -7%,3.9,19,15,819,0,
2026.05.10(일) 11:02,2026.05.10(일) 11:36,talk,전체,오늘 메이드데이라고 해서,0.6,13,10,79,0,
2026.05.09(토) 23:01,2026.05.10(일) 00:36,talk,전체,아침에 일어난 나루가 노래뱅하루 와써이,1.6,33,26,467,1,
2026.05.09(토) 07:58,2026.05.09(토) 12:24,음악/노래|전략적 팀 전투 : 우주의 신들|뱀파이어 크롤러즈: 더 터보 와일드카드 프롬 뱀파이어 서바이버즈|talk,전체,사랑해염 사랑해염,4.4,18,14,814,-2,
2026.05.08(금) 11:38,2026.05.08(금) 13:48,talk,전체,엄마아빠 사랑해요 뽀뽀뽀,2.2,17,14,677,1,
2026.05.07(목) 09:59,2026.05.07(목) 16:54,전략적 팀 전투 : 우주의 신들|talk,전체,아무도 못말리는 햄부기 먹는날,6.9,22,14,677,3,
2026.05.06(수) 10:01,2026.05.06(수) 17:00,전략적 팀 전투 : 우주의 신들|talk,전체,오랜만이야 ~~~~~,7,29,22,1579,4,
2026.05.04(월) 12:03,2026.05.04(월) 12:42,talk,전체,진짜 진짜 할말있서이,0.6,17,14,196,1,
2026.05.03(일) 03:49,2026.05.03(일) 10:00,승리의 여신: 니케|마인크래프트|talk,전체,흐물말랑촉촉나루,6.2,25,20,1531,0,
2026.05.02(토) 09:36,2026.05.02(토) 15:12,마인크래프트|talk,전체,오이얘기 금지,5.6,21,14,854,1,
2026.05.01(금) 09:01,2026.05.01(금) 12:54,리그 오브 레전드|talk,전체,구독의날,3.9,24,13,611,1,
