channel_name,channelId,channel_url,cohort_type,platform,categories,is_virtual,is_general_game,peak_viewers_raw,avg_viewers_raw,stream_hours,follower,viewership,ts_weeks,peak_max,peak_p95,peak_all_median,peak_recent_median,peak_recent_p95,avg_viewers_median,avg_viewers_recent_median,band_raw_max,band_p95,band_all_median,band_recent_median,band_recent_p95,eff_peak_follower,eff_avg_follower,nobangjong,long_stream,inactive,too_new,final_include,final_cohort_group
구리리,7465c95d6faf00a798ffa8880845037c,https://chzzk.naver.com/live/7465c95d6faf00a798ffa8880845037c,aux_virtual,chzzk,로스트아크;승리의 여신: 니케;붉은사막,True,False,29,14,79.4,1669,1181,126,29,103,47.0,45,48,26.0,33,False,False,False,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
늙은어린이2,1fd54afbec396b332cf2883561f48a0e,https://chzzk.naver.com/live/1fd54afbec396b332cf2883561f48a0e,aux_virtual,chzzk,원신;친구모아 아일랜드 두근두근 라이프;이환,True,False,35,22,34.7,1941,766,101,35,53,35,44,51,25,25,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
라피니아 GO66,8968e548991e09739da81e75c7dc75c0,https://chzzk.naver.com/live/8968e548991e09739da81e75c7dc75c0,aux_virtual,chzzk,이터널 리턴;페르소나 5 더 로열;talk,True,False,43,21,38.3,1390,837,121,43,59,30,43,36,20,24,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
맘쥬,cbfa98548ac10dc499d489fe50f61dc3,https://chzzk.naver.com/live/cbfa98548ac10dc499d489fe50f61dc3,aux_virtual,chzzk,던전앤파이터;메이플스토리 월드;다잉 라이트,True,False,44,16,239.9,1150,4011,128,44,65,48.0,42,28,28.0,30,False,True,False,True,True,0.04,0.01,False,False,False,False,True,virtual_peer
실피아,9882fe6092959ff9f29bd6c9e6e1c396,https://chzzk.naver.com/live/9882fe6092959ff9f29bd6c9e6e1c396,aux_virtual,chzzk,메이플스토리 월드;talk;서브노티카 2,True,False,36,17,169.4,1803,3023,119,36,52,35,41,25,23,27,False,True,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
고뇨,21030ee8202e8e99785651805fe97212,https://chzzk.naver.com/live/21030ee8202e8e99785651805fe97212,aux_virtual,chzzk,talk;음악/노래;프린세스 메이커 3: 꿈꾸는 요정,True,False,47,25,107.1,3595,2754,104,47,72,42.5,41,41,29.0,28,False,True,False,True,True,0.01,0.01,False,False,False,False,True,virtual_peer
루묭Lumyon,60a7ca5191e7987432e77593a368582a,https://chzzk.naver.com/live/60a7ca5191e7987432e77593a368582a,aux_virtual,chzzk,talk;종합 게임;이터널 리턴,True,False,48,27,69.1,1496,1902,134,48,47,36.0,41,32,25.5,27,False,True,True,True,True,0.03,0.02,False,False,False,False,True,virtual_peer
달디단레몬,3ecbcdcd5c780344d396c93c61ea2595,https://chzzk.naver.com/live/3ecbcdcd5c780344d396c93c61ea2595,aux_virtual,chzzk,유희왕 마스터 듀얼;포켓몬스터 하트골드;포켓몬 챔피언스,True,False,46,12,97.5,1337,1234,112,46,62,43.5,41,8,17.0,18,False,True,False,True,False,0.03,0.01,False,False,False,False,True,virtual_peer
아란챠,4695513000a3ec512bd0fed52fdc6e93,https://chzzk.naver.com/live/4695513000a3ec512bd0fed52fdc6e93,aux_virtual,chzzk,오버워치;디제이맥스 리스펙트 V;talk,True,False,41,18,66.0,1860,1190,140,41,64,45.0,40,43,25.0,24,False,True,False,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
제이I,44dae7a2b81746e217082f6ef7f81779,https://chzzk.naver.com/live/44dae7a2b81746e217082f6ef7f81779,aux_virtual,chzzk,talk;이환;겟팅 오버 잇 위드 베넷 포디,True,False,43,18,47.1,2379,890,128,43,89,35.0,39,45,23.0,29,False,False,True,True,True,0.02,0.01,False,False,False,False,True,virtual_peer
