layer,metric,n,min,p25,median,p75,max,mean,stdev
A,follower,50,10406.0,48073.0,69708.0,146570.0,317991.0,103238.88,82151.87
A,peak_45d,50,1389.0,3189.0,6176.0,9008.0,29490.0,7586.46,6139.93
A,avg_45d,50,618.3,868.6,1124.0,2227.8,8610.1,1835.59,1622.27
A,hours_45d,50,86.8,162.7,231.3,272.3,481.8,233.49,88.77
A,viewership_45d,50,61636.3,140116.8,298610.1,449592.6,2289424.3,441566.01,458697.69
A,conv_rate_pct,50,0.52,1.36,1.9,2.5,8.03,2.3,1.76
A,efficiency,50,1.07,2.3,4.31,7.0,20.47,5.18,3.72
A,retention_pct,50,8.01,16.98,25.1,35.58,54.51,27.0,11.12
B,follower,106,233.0,704.0,1012.0,1565.0,4967.0,1230.21,848.63
B,peak_45d,106,29.0,42.0,51.0,66.0,319.0,63.99,43.57
B,avg_45d,106,15.0,16.6,18.2,19.8,22.0,18.26,1.97
B,hours_45d,106,181.3,201.8,219.2,243.9,277.3,222.38,26.46
B,viewership_45d,106,2826.4,3517.0,4040.1,4431.4,6000.6,4065.51,692.1
B,conv_rate_pct,106,0.4,1.18,1.88,2.66,7.97,2.1,1.3
B,efficiency,106,0.82,2.62,4.19,5.78,16.67,4.68,2.92
B,retention_pct,106,5.39,26.87,36.43,44.1,55.86,34.78,11.73
C,follower,420,305.0,2123.0,3810.0,7589.0,40458.0,5810.03,6065.56
C,peak_45d,420,51.0,110.0,169.0,314.0,1355.0,238.99,196.85
C,avg_45d,420,30.0,36.9,53.0,80.0,149.1,62.07,30.08
C,hours_45d,420,100.2,154.3,197.0,263.6,726.9,215.25,82.79
C,viewership_45d,420,3280.5,7171.5,10954.2,17081.4,51662.1,13436.32,8607.19
C,conv_rate_pct,420,0.08,0.91,1.46,2.39,12.72,1.97,1.71
C,efficiency,420,0.22,1.74,2.96,5.32,27.44,4.08,3.64
C,retention_pct,420,5.25,23.57,32.96,43.69,74.09,33.46,13.57
ALL,follower,576,233.0,1542.0,3435.0,8067.0,317991.0,13424.58,37057.74
ALL,peak_45d,576,29.0,85.0,151.0,328.0,29490.0,844.59,2752.06
ALL,avg_45d,576,15.0,31.8,47.8,83.9,8610.1,207.96,691.0
ALL,hours_45d,576,86.8,165.5,206.0,254.6,726.9,218.15,76.31
ALL,viewership_45d,576,2826.4,5292.6,10019.0,18168.4,2289424.3,48875.87,180778.47
ALL,conv_rate_pct,576,0.08,0.97,1.58,2.46,12.72,2.02,1.65
ALL,efficiency,576,0.22,1.94,3.28,5.5,27.44,4.29,3.54
ALL,retention_pct,576,5.25,23.58,33.08,42.77,74.09,33.15,13.18
