layer,name,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d
A,탬탬버린,1.0,1,1,1,265.9,29490,8610.1,2289424.3
A,텐코 시부키,2.6,3,2,3,236.1,20782,5836.1,1377894.3
A,아라하시 타비,4.2,5,3,5,236.6,17715,5041.3,1192771.9
A,시라유키 히나,4.0,4,4,4,267.6,20607,4506.3,1205887.0
A,아야츠노 유니,4.8,2,5,6,238.0,21029,4173.5,993287.7
A,유즈하 리코,6.4,6,6,7,248.5,15919,3985.3,990344.8
A,아리사,5.4,9,7,2,481.8,13650,3941.9,1899201.8
A,아오쿠모 린,10.2,11,8,12,138.4,10567,3482.6,481994.6
A,하나코 나나,13.0,15,9,16,133.5,8404,3213.9,429051.2
A,아카네 리제,15.6,16,10,21,118.9,7963,3070.2,365051.7
A,네네코 마시로,15.0,27,11,13,173.6,6436,2589.8,449592.6
A,사키하네 후야,14.6,21,12,14,189.0,6584,2342.9,442800.0
A,허니츄러스,11.6,14,13,9,257.1,8555,2227.8,572765.6
A,강지,14.0,22,14,10,239.2,6575,2210.8,528820.6
A,달콤레나 씨,11.8,13,15,8,361.2,9008,2170.4,783941.8
A,이글콥,12.8,10,16,11,336.2,11558,1557.6,523680.3
A,엘시v,15.0,7,17,17,273.8,15428,1452.0,397546.8
A,블레어 로즈,23.8,43,18,20,269.5,4111,1369.1,368984.4
A,둥그레,18.8,26,19,15,325.3,6453,1325.2,431073.1
A,카린,24.0,34,20,23,243.4,5387,1314.4,319918.4
A,아카캉 Akang,39.0,57,21,48,107.3,2935,1299.0,139381.5
A,마뫄,25.2,32,22,25,229.9,5914,1298.9,298610.1
A,계춘회,25.6,46,23,18,305.2,3790,1271.7,388124.6
A,미녕이데려오깨,26.4,8,24,38,184.3,14360,1150.6,212060.6
A,망내,26.4,12,25,35,191.1,9138,1124.0,214798.3
A,디디디용,33.8,53,26,32,203.3,3097,1115.2,226711.6
A,독케익,33.4,69,27,22,294.0,2002,1091.2,320826.9
A,라코코 RAKOKO,27.6,28,28,27,264.8,6176,1034.8,274017.4
A,아야 AyaUke,28.2,17,29,33,212.7,7908,1017.1,216334.6
