layer,name,channelId,follower,point,peak_rank,avg_rank,vs_rank,hours_45d,peak_45d,avg_45d,viewership_45d,conv_rate_pct,efficiency,retention_pct
A,탬탬버린,a7e175625fdea5a7d98428302b7aa57f,317991,1.0,1,1,1,265.9,29490,8610.1,2289424.3,2.71,7.1997,29.2
A,텐코 시부키,64d76089fba26b180d9c9e48a32600d9,232455,2.6,3,2,3,236.1,20782,5836.1,1377894.3,2.51,5.9276,28.08
A,아라하시 타비,a6c4ddb09cdb160478996007bff35296,244724,4.2,5,3,5,236.6,17715,5041.3,1192771.9,2.06,4.8739,28.46
A,시라유키 히나,b044e3a3b9259246bc92e863e7d3f3b8,229780,4.0,4,4,4,267.6,20607,4506.3,1205887.0,1.96,5.248,21.87
A,아야츠노 유니,45e71a76e949e16a34764deb962f9d9f,292038,4.8,2,5,6,238.0,21029,4173.5,993287.7,1.43,3.4012,19.85
A,유즈하 리코,8fd39bb8de623317de90654718638b10,198883,6.4,6,6,7,248.5,15919,3985.3,990344.8,2.0,4.9795,25.03
A,아리사,4de764d9dad3b25602284be6db3ac647,92782,5.4,9,7,2,481.8,13650,3941.9,1899201.8,4.25,20.4695,28.88
A,아오쿠모 린,516937b5f85cbf2249ce31b0ad046b0f,209195,10.2,11,8,12,138.4,10567,3482.6,481994.6,1.66,2.304,32.96
A,하나코 나나,4d812b586ff63f8a2946e64fa860bbf5,199361,13.0,15,9,16,133.5,8404,3213.9,429051.2,1.61,2.1521,38.24
A,아카네 리제,4325b1d5bbc321fad3042306646e2e50,244543,15.6,16,10,21,118.9,7963,3070.2,365051.7,1.26,1.4928,38.56
A,네네코 마시로,4515b179f86b67b4981e16190817c580,202783,15.0,27,11,13,173.6,6436,2589.8,449592.6,1.28,2.2171,40.24
A,사키하네 후야,36ddb9bb4f17593b60f1b63cec86611d,148303,14.6,21,12,14,189.0,6584,2342.9,442800.0,1.58,2.9858,35.58
A,허니츄러스,c0d9723cbb75dc223c6aa8a9d4f56002,132040,11.6,14,13,9,257.1,8555,2227.8,572765.6,1.69,4.3378,26.04
A,강지,b5ed5db484d04faf4d150aedd362f34b,278140,14.0,22,14,10,239.2,6575,2210.8,528820.6,0.79,1.9013,33.62
A,달콤레나 씨,a67b328bcc8eea4451ccfa754bc19ae1,95014,11.8,13,15,8,361.2,9008,2170.4,783941.8,2.28,8.2508,24.09
A,이글콥,eaf7b569c9992d0e57db0059eb5c0eeb,55266,12.8,10,16,11,336.2,11558,1557.6,523680.3,2.82,9.4756,13.48
A,엘시v,6ccaebc2569f62344c6fc257f8f2b9ad,39523,15.0,7,17,17,273.8,15428,1452.0,397546.8,3.67,10.0586,9.41
A,블레어 로즈,dae2de8eaa005a59163f2e4c045e1aa1,44354,23.8,43,18,20,269.5,4111,1369.1,368984.4,3.09,8.3191,33.3
A,둥그레,1b0561f3051c10a24b9d8ec9a6cb3374,87328,18.8,26,19,15,325.3,6453,1325.2,431073.1,1.52,4.9363,20.54
A,카린,32fb866e323242b770cdc790f991a6f6,53700,24.0,34,20,23,243.4,5387,1314.4,319918.4,2.45,5.9575,24.4
A,아카캉 Akang,5b16ddd2a88d50b746affdfaa1e50ab0,67808,39.0,57,21,48,107.3,2935,1299.0,139381.5,1.92,2.0555,44.26
A,마뫄,219d8e65810a77d6e42c7df018d9632b,146570,25.2,32,22,25,229.9,5914,1298.9,298610.1,0.89,2.0373,21.96
A,계춘회,a9a343510e132ea3026ff3cf682820b5,55434,25.6,46,23,18,305.2,3790,1271.7,388124.6,2.29,7.0016,33.55
A,미녕이데려오깨,c7d3b49d29be2d2b1d74ba8403f5851a,55221,26.4,8,24,38,184.3,14360,1150.6,212060.6,2.08,3.8402,8.01
A,망내,bd07973b6021d72512240c01a386d5c9,74911,26.4,12,25,35,191.1,9138,1124.0,214798.3,1.5,2.8674,12.3
A,디디디용,798e100206987b59805cfb75f927e965,61124,33.8,53,26,32,203.3,3097,1115.2,226711.6,1.82,3.709,36.01
A,독케익,b68af124ae2f1743a1dcbf5e2ab41e0b,36568,33.4,69,27,22,294.0,2002,1091.2,320826.9,2.98,8.7734,54.51
A,라코코 RAKOKO,8a933cb3a86c52aadb2483aa4eed72aa,47082,27.6,28,28,27,264.8,6176,1034.8,274017.4,2.2,5.82,16.76
A,아야 AyaUke,abe8aa82baf3d3ef54ad8468ee73e7fc,50212,28.2,17,29,33,212.7,7908,1017.1,216334.6,2.03,4.3084,12.86
A,아마네 나기 Planeta,941ea3807ba8b9b7dddb1670e3e7e5af,12337,38.8,20,30,57,128.9,6799,984.6,126920.9,7.98,10.2878,14.48
A,카네코 파냐 Planeta,5ead7124638ac4c568f2cde0224b3b6b,12054,37.8,19,31,54,134.7,6815,968.1,130397.2,8.03,10.8178,14.21
A,엘리,475313e6c26639d5763628313b4c130e,59243,33.4,31,32,36,227.2,6050,943.4,214330.2,1.59,3.6178,15.59
A,뇨롱이,c65ca7335aaeb2ca0c985078223017c0,68931,38.8,60,33,34,231.3,2713,933.7,215956.7,1.35,3.1329,34.42
A,이오몽,d2fb83a5db130bf4d273c981b82ca41f,82859,46.8,44,34,61,127.8,3885,930.6,118933.3,1.12,1.4354,23.95
A,하시요 HaSiyo,b33c957eac9335d38e4043c3dca97675,36642,36.8,54,35,30,272.3,3058,929.2,253032.6,2.54,6.9055,30.39
A,에리스,17d8605fc37fb5ef49f5f67ae786fe4e,48831,40.4,30,36,50,146.9,6123,927.6,136260.5,1.9,2.7905,15.15
A,류시호 RyuSiho,f36320c432d9f06095ce2cfbbf681c26,48073,35.6,48,37,28,304.2,3561,877.3,266881.9,1.82,5.5516,24.64
A,고차비,93fe884808459fb4e4a3c7d64f0eef03,94496,36.0,66,38,19,437.7,2078,868.6,380196.0,0.92,4.0234,41.8
A,모카형,affa78deac0b23d2046b8ed4856c1e62,80622,40.0,70,39,26,327.5,1982,866.1,283638.4,1.07,3.5181,43.7
A,쿠온 레이 Planeta,59aa824e4c4a56dd51e7a5e2e9172648,11491,41.4,25,40,51,154.4,6495,864.1,133415.3,7.52,11.6104,13.3
A,모라라,6bd0bb97d31365e7834d8113bb01d889,58842,36.4,52,41,24,398.1,3189,800.5,318687.9,1.36,5.416,25.1
A,이초홍,ed21d36a44d1956520189a784afc27ed,98562,50.6,49,42,60,162.7,3526,734.7,119539.9,0.75,1.2128,20.84
A,치치 Planeta,d5e2e0c14dcca4c4b10c7c9633022f52,10406,51.4,41,43,65,149.3,4292,728.8,108806.4,7.0,10.4561,16.98
A,늦잠,e9ff6a0d42f604ac57fcd53f1c3b9bc0,48438,72.8,90,44,93,86.8,1389,710.1,61636.3,1.47,1.2725,51.12
