channelId,platform,name,rank,stream_hours,peak_viewers,avg_viewers,viewership,band,follower,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,total_categories,is_general_game,gg_reason,exclude_reason,collected_at
52ff9eaafb087636fbb24022702063a2,naverchzzk,,,,,,,,1090,다크 앤 다커,97.8,패스 오브 엑자일 2,2.2,,0,2,false,single_game_dominant,,2026-06-15T10:45:06.271409
ace4b66067bd8dc9e41e63a164629c62,naverchzzk,,,,,,,,321,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:45:12.454871
c4f1b02d66e4992013fc16e47c1a0cac,naverchzzk,,,,,,,,659,이터널 리턴,100.0,,0,,0,1,false,single_game_dominant,,2026-06-15T10:45:20.178103
b8c83d297dbb590645a14e4d1c09cd7a,naverchzzk,,,,,,,,339,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:45:26.582290
d17583cf1aed984164ad75bbccb3dfc0,naverchzzk,,,,,,,,853,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:45:33.037929
eaa3d33a92b7fb253dd88bcf718b1897,naverchzzk,,,,,,,,812,마인크래프트,34.0,talk,22.5,스펠렁키 2,15.1,8,true,multi_game,,2026-06-15T10:45:40.493846
aad9c4cb77bebbdd8c22ffc69758c4ee,naverchzzk,,,,,,,,207,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:45:46.717593
f4600443e10b8b2a34cf732090194e49,naverchzzk,,,,,,,,610,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:45:52.982206
6375c3213eb6ea68d04628030e55fe31,naverchzzk,,,,,,,,56,썸썸 편의점,80.2,종합 게임,19.8,,0,2,false,single_game_dominant,,2026-06-15T10:45:59.109828
75b261dd8fa90993a3cd188c5a5c59e4,naverchzzk,,,,,,,,437,로스트아크,37.6,히어로즈 오브 더 스톰,22.9,리그 오브 레전드,14.1,13,true,multi_game,,2026-06-15T10:46:06.347904
0b38d2478ca0b3f06e4b5ed428f29990,naverchzzk,,,,,,,,89,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:46:12.620497
2677fdd49085bb2a1d777cce53f82875,naverchzzk,,,,,,,,427,마인크래프트,78.1,붉은사막,14.3,talk,3.9,4,false,single_game_or_non_game,,2026-06-15T10:46:19.750818
adeaafc6b493e9869bd34a0a3dc3dc33,naverchzzk,,,,,,,,199,포켓로그,54.4,그림/아트,13.2,talk,12.6,7,false,single_game_or_non_game,,2026-06-15T10:46:26.826050
b83cb1969ea811b12bd27428cc81a3d2,naverchzzk,,,,,,,,773,디제이맥스 리스펙트 V,38.0,talk,26.1,사운드 볼텍스 나블라,18.5,5,true,multi_game,,2026-06-15T10:46:34.007431
e3f0483056b34299ea8c4ee35d2fe514,naverchzzk,,,,,,,,873,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:46:40.243823
6d229d127560ea141da4b7ac7c4b154f,naverchzzk,,,,,,,,373,,0,,0,,0,0,unknown,no_category_data,,2026-06-15T10:46:46.446526
616a7baad8f2024221a94e3d65211c19,naverchzzk,,,,,,,,612,그림/아트,100.0,,0,,0,1,false,single_game_dominant,,2026-06-15T10:46:53.593728
