youtube_channel_id,youtube_url,channel_name,source_channelId,band,subscriber_count,video_count,view_count,last_upload_date,upload_frequency_30d,content_type_primary
UCqVTAdTG5T7BkAD3xRKOFog,https://www.youtube.com/channel/UCqVTAdTG5T7BkAD3xRKOFog,조이냥,a9983d950a0ba4471b3d60bb9c5e0dd7,10k-20k,15800,1198,3107651,2026-06-19,10,full_vod
UCa2Xh1o8lOeVcbGilfH-thQ,https://www.youtube.com/channel/UCa2Xh1o8lOeVcbGilfH-thQ,찌모찌모햄,049a2d8aca5ec24e667ec70049780f4e,10k-20k,2,0,0,2018-09-11,0,clip
UCad0dZKUGJOqTifxLqDi4Wg,https://www.youtube.com/channel/UCad0dZKUGJOqTifxLqDi4Wg,토종 아오리,81bd5b50f0c0728128442daf7db626fc,10k-20k,11700,205,2115730,2026-06-17,7,clip
UC6NcWugVkYJPo7_HoHHdwBA,https://www.youtube.com/channel/UC6NcWugVkYJPo7_HoHHdwBA,심해덤,49247f8c7b0075fa3b243c8907bca43a,10k-20k,1590,33,517395,2026-06-19,10,clip
UC6YRErP_lnPcHw3m4ez9OMQ,https://www.youtube.com/channel/UC6YRErP_lnPcHw3m4ez9OMQ,유람 Yuram,5d68142291810fa1a2a0dfa90a688362,10k-20k,132,9,93220,2026-06-03,1,clip
UCjdln1NK3QLJTg9zjCbSm5A,https://www.youtube.com/channel/UCjdln1NK3QLJTg9zjCbSm5A,김정민 해변킴,368ca51e82c85583e059fe669ef0f028,10k-20k,79300,806,40241249,2026-06-16,2,highlight
UCPKYZNXOiBZZXnLeblQaM8A,https://www.youtube.com/channel/UCPKYZNXOiBZZXnLeblQaM8A,카토kato,57aeb13825bf7d402273ecfa936356e4,10k-20k,115000,733,96189354,2026-06-18,10,clip
UChzf1j8H-CVGlvgDOGqg5tg,https://www.youtube.com/channel/UChzf1j8H-CVGlvgDOGqg5tg,애 타,d6cec68f616f5926a0a5f6cea2bbe731,10k-20k,86300,850,45037502,2026-06-14,5,highlight
UChaT4DUnWxSsym-devGo6wQ,https://www.youtube.com/channel/UChaT4DUnWxSsym-devGo6wQ,야토 Yato,e87999abca4fd0c3214e05ef414ce951,10k-20k,23500,671,5434746,2026-06-13,5,clip
UC4q2QOe3Ht73lVO-31JnkQQ,https://www.youtube.com/channel/UC4q2QOe3Ht73lVO-31JnkQQ,코뚱잉입니다,2d3b8f534ce263f5d9a7ddd2346b4c2f,10k-20k,416000,1540,281497576,2026-06-17,10,highlight
UCwFBKqPIXtloEldc4G-P_uQ,https://www.youtube.com/channel/UCwFBKqPIXtloEldc4G-P_uQ,R로제타,faf9cdd37e2ce5e2af6944dbf42739a9,10k-20k,48200,780,11013203,2026-06-19,10,clip
UCw_4eIqU5WCW-eM28E9F0Eg,https://www.youtube.com/channel/UCw_4eIqU5WCW-eM28E9F0Eg,도로시 dorothy,66f34bf45e8bcba4e1b486466e837733,10k-20k,46,30,18501,2020-09-04,0,clip
UCo4HSKAFddVOMQgYxsg5aNg,https://www.youtube.com/channel/UCo4HSKAFddVOMQgYxsg5aNg,두뭉,6f1ae352c78027acf1bd92589fc44128,10k-20k,21500,245,5884122,2026-06-16,3,highlight
UCm1JuixwDoQEDi5RfcRuHJg,https://www.youtube.com/channel/UCm1JuixwDoQEDi5RfcRuHJg,성우 김가령입니다,314fd8aa23dccfedf21bcc00cd6df9ec,10k-20k,112000,653,31911051,2026-06-19,10,mixed
UCVlRspMebofH_Af90wGgUFA,https://www.youtube.com/channel/UCVlRspMebofH_Af90wGgUFA,배비꼬,361eea6eaa690bcfe8004fd6ade7dda7,10k-20k,37700,234,9177109,2026-06-16,10,highlight
UC8vRXCc8WyRfJijmMrbEgMQ,https://www.youtube.com/channel/UC8vRXCc8WyRfJijmMrbEgMQ,미니멜로,e4b12ad6a22d3e8d1dd8a79522cca667,10k-20k,17300,1107,3465908,2026-06-17,10,highlight
UCgiVrKwgg7VQ6OM8nKHTm3A,https://www.youtube.com/channel/UCgiVrKwgg7VQ6OM8nKHTm3A,오단밍,f3b204dd3fd6925835ca1848cd4b6d3c,10k-20k,3580,81,335511,2026-06-19,4,clip
UC1z1pb_lEg0joElYZF5ULMA,https://www.youtube.com/channel/UC1z1pb_lEg0joElYZF5ULMA,김앵고,8ecadcb05be3f97875b5aa3d8ced1347,10k-20k,99,115,7644,2025-10-01,0,clip
UCTFpbOo4iFMgt18GtyXybRQ,https://www.youtube.com/channel/UCTFpbOo4iFMgt18GtyXybRQ,날먹키코,2275b35a6c555959fb4a61e18a818a59,10k-20k,898,237,696117,2026-06-19,10,clip
UCHAZ5IzqGqK6UtC_j_1s61w,https://www.youtube.com/channel/UCHAZ5IzqGqK6UtC_j_1s61w,먼닉 Munnik,16f23f1ae8b57b026e5451b29b0b7c0d,10k-20k,72100,550,76853229,2026-06-18,10,clip
UC8ffmqmNOuJTaIZ5n-It7Hg,https://www.youtube.com/channel/UC8ffmqmNOuJTaIZ5n-It7Hg,나는 만타,e0ccb72f0412d306b20847c94a2824d3,10k-20k,7490,145,1604030,2026-06-16,5,clip
