channel_name,channelId,band,has_youtube,youtube_channel_id,youtube_url,match_method,match_confidence
조이냥,a9983d950a0ba4471b3d60bb9c5e0dd7,10k-20k,true,UCqVTAdTG5T7BkAD3xRKOFog,https://www.youtube.com/channel/UCqVTAdTG5T7BkAD3xRKOFog,youtube_search,high
찌모찌모햄,049a2d8aca5ec24e667ec70049780f4e,10k-20k,true,UCa2Xh1o8lOeVcbGilfH-thQ,https://www.youtube.com/channel/UCa2Xh1o8lOeVcbGilfH-thQ,youtube_search,high
토종 아오리,81bd5b50f0c0728128442daf7db626fc,10k-20k,true,UCad0dZKUGJOqTifxLqDi4Wg,https://www.youtube.com/channel/UCad0dZKUGJOqTifxLqDi4Wg,youtube_search,medium
심해덤,49247f8c7b0075fa3b243c8907bca43a,10k-20k,true,UC6NcWugVkYJPo7_HoHHdwBA,https://www.youtube.com/channel/UC6NcWugVkYJPo7_HoHHdwBA,youtube_search,high
유람 Yuram,5d68142291810fa1a2a0dfa90a688362,10k-20k,true,UC6YRErP_lnPcHw3m4ez9OMQ,https://www.youtube.com/channel/UC6YRErP_lnPcHw3m4ez9OMQ,youtube_search,high
김정민 해변킴,368ca51e82c85583e059fe669ef0f028,10k-20k,true,UCjdln1NK3QLJTg9zjCbSm5A,https://www.youtube.com/channel/UCjdln1NK3QLJTg9zjCbSm5A,youtube_search,high
카토kato,57aeb13825bf7d402273ecfa936356e4,10k-20k,true,UCPKYZNXOiBZZXnLeblQaM8A,https://www.youtube.com/channel/UCPKYZNXOiBZZXnLeblQaM8A,youtube_search,high
애 타,d6cec68f616f5926a0a5f6cea2bbe731,10k-20k,true,UChzf1j8H-CVGlvgDOGqg5tg,https://www.youtube.com/channel/UChzf1j8H-CVGlvgDOGqg5tg,youtube_search,medium
야토 Yato,e87999abca4fd0c3214e05ef414ce951,10k-20k,true,UChaT4DUnWxSsym-devGo6wQ,https://www.youtube.com/channel/UChaT4DUnWxSsym-devGo6wQ,youtube_search,medium
코뚱잉입니다,2d3b8f534ce263f5d9a7ddd2346b4c2f,10k-20k,true,UC4q2QOe3Ht73lVO-31JnkQQ,https://www.youtube.com/channel/UC4q2QOe3Ht73lVO-31JnkQQ,youtube_search,medium
R로제타,faf9cdd37e2ce5e2af6944dbf42739a9,10k-20k,true,UCwFBKqPIXtloEldc4G-P_uQ,https://www.youtube.com/channel/UCwFBKqPIXtloEldc4G-P_uQ,youtube_search,high
도로시 dorothy,66f34bf45e8bcba4e1b486466e837733,10k-20k,true,UCw_4eIqU5WCW-eM28E9F0Eg,https://www.youtube.com/channel/UCw_4eIqU5WCW-eM28E9F0Eg,youtube_search,high
두뭉,6f1ae352c78027acf1bd92589fc44128,10k-20k,true,UCo4HSKAFddVOMQgYxsg5aNg,https://www.youtube.com/channel/UCo4HSKAFddVOMQgYxsg5aNg,youtube_search,high
성우 김가령입니다,314fd8aa23dccfedf21bcc00cd6df9ec,10k-20k,true,UCm1JuixwDoQEDi5RfcRuHJg,https://www.youtube.com/channel/UCm1JuixwDoQEDi5RfcRuHJg,youtube_search,medium
배비꼬,361eea6eaa690bcfe8004fd6ade7dda7,10k-20k,true,UCVlRspMebofH_Af90wGgUFA,https://www.youtube.com/channel/UCVlRspMebofH_Af90wGgUFA,youtube_search,high
미니멜로,e4b12ad6a22d3e8d1dd8a79522cca667,10k-20k,true,UC8vRXCc8WyRfJijmMrbEgMQ,https://www.youtube.com/channel/UC8vRXCc8WyRfJijmMrbEgMQ,youtube_search,high
키유 Kiyuu,a3ceb9179d99be8d1e63b3e911fcd16b,10k-20k,false,,,not_found,low
오단밍,f3b204dd3fd6925835ca1848cd4b6d3c,10k-20k,true,UCgiVrKwgg7VQ6OM8nKHTm3A,https://www.youtube.com/channel/UCgiVrKwgg7VQ6OM8nKHTm3A,youtube_search,medium
김앵고,8ecadcb05be3f97875b5aa3d8ced1347,10k-20k,true,UC1z1pb_lEg0joElYZF5ULMA,https://www.youtube.com/channel/UC1z1pb_lEg0joElYZF5ULMA,youtube_search,medium
날먹키코,2275b35a6c555959fb4a61e18a818a59,10k-20k,true,UCTFpbOo4iFMgt18GtyXybRQ,https://www.youtube.com/channel/UCTFpbOo4iFMgt18GtyXybRQ,youtube_search,medium
먼닉 Munnik,16f23f1ae8b57b026e5451b29b0b7c0d,10k-20k,true,UCHAZ5IzqGqK6UtC_j_1s61w,https://www.youtube.com/channel/UCHAZ5IzqGqK6UtC_j_1s61w,youtube_search,high
나는 만타,e0ccb72f0412d306b20847c94a2824d3,10k-20k,true,UC8ffmqmNOuJTaIZ5n-It7Hg,https://www.youtube.com/channel/UC8ffmqmNOuJTaIZ5n-It7Hg,youtube_search,high
아무탈,0a07375b21a52bd69ff087fa5cc60f0d,10k-20k,true,UCN58qtd1W0jM6oqv9SAdgdg,https://www.youtube.com/channel/UCN58qtd1W0jM6oqv9SAdgdg,youtube_search,high
감군장입니다,ba1469a50bdc7f420d775f43f29b1414,10k-20k,true,UCKQucJJLSHILoGbyS8kdpLg,https://www.youtube.com/channel/UCKQucJJLSHILoGbyS8kdpLg,youtube_search,medium
텔론,a213532964452f5609e0992716ccfe5a,10k-20k,true,UCl4nBkmJCDs6RR8uWldAqLA,https://www.youtube.com/channel/UCl4nBkmJCDs6RR8uWldAqLA,youtube_search,high
안모리,b71f5c1bd7d91b536af7289115ab17fc,10k-20k,true,UCdT2nXooUR-X_MdmbER25yQ,https://www.youtube.com/channel/UCdT2nXooUR-X_MdmbER25yQ,youtube_search,high
슈향,57482ec9b07718076a1692bc210d5fa0,10k-20k,true,UCho54bJAEhsiCyZZeGTwt7A,https://www.youtube.com/channel/UCho54bJAEhsiCyZZeGTwt7A,youtube_search,high
먀뮤뮤,0a808138cc8c96ab9756935b964c1bf7,10k-20k,true,UCg5L2hvayFNrQXiqSzJe-Aw,https://www.youtube.com/channel/UCg5L2hvayFNrQXiqSzJe-Aw,youtube_search,high
광말구짱,195e40531e373d386ef37bcfd48418e1,10k-20k,true,UCRNq4G2anQUfkvBZWrKYIqw,https://www.youtube.com/channel/UCRNq4G2anQUfkvBZWrKYIqw,youtube_search,medium
간장ㅎ,bd6e67ad873b9f96f1480547bba0f097,10k-20k,true,UC7dBY_oTUHUKfdF_H_l9WLA,https://www.youtube.com/channel/UC7dBY_oTUHUKfdF_H_l9WLA,youtube_search,high
에리스,17d8605fc37fb5ef49f5f67ae786fe4e,20k-50k,true,UCkqkaZH70jTTHzVDTs3ypcw,https://www.youtube.com/channel/UCkqkaZH70jTTHzVDTs3ypcw,youtube_search,medium
늦잠,e9ff6a0d42f604ac57fcd53f1c3b9bc0,20k-50k,true,UCH0WOZm63Q-LEKynU5tDs9A,https://www.youtube.com/channel/UCH0WOZm63Q-LEKynU5tDs9A,youtube_search,high
류시호 RyuSiho,f36320c432d9f06095ce2cfbbf681c26,20k-50k,true,UC-9fPSlVjMqG3zwbRT2XhXA,https://www.youtube.com/channel/UC-9fPSlVjMqG3zwbRT2XhXA,youtube_search,high
라코코 RAKOKO,8a933cb3a86c52aadb2483aa4eed72aa,20k-50k,true,UCLlI7CaFNWMu7shwBP5DH0g,https://www.youtube.com/channel/UCLlI7CaFNWMu7shwBP5DH0g,youtube_search,high
하루토,4f891095bc91025428ba2e8c375ef86c,20k-50k,true,UC9fVovGMV6MHRAM_uL4WO8g,https://www.youtube.com/channel/UC9fVovGMV6MHRAM_uL4WO8g,youtube_search,high
순당무,475b273abe12e5bc1d667af5b8974381,20k-50k,true,UCZW0yRW2HK7_fzgL9HQu9ZA,https://www.youtube.com/channel/UCZW0yRW2HK7_fzgL9HQu9ZA,youtube_search,high
앵보,41d1490bd67b3818d7dc53427a4d6cea,20k-50k,true,UCnwA84tROxLzFSyUl7CI07A,https://www.youtube.com/channel/UCnwA84tROxLzFSyUl7CI07A,youtube_search,high
꼴랑이,effe648202c8f7fba081c2f2aeea1979,20k-50k,true,UC8pxlRLYmYPMctqHyM_-3Ow,https://www.youtube.com/channel/UC8pxlRLYmYPMctqHyM_-3Ow,youtube_search,medium
이샤 ISHA,d9c00ea08106b660e26abcd730e7d796,20k-50k,true,UCjOHYSMHHenIR_rFaJTNtGA,https://www.youtube.com/channel/UCjOHYSMHHenIR_rFaJTNtGA,youtube_search,medium
던,dc740d5bb5680666b6bf2ebc58a8203f,20k-50k,true,UCbhw4rVB_B-regoPx1vyGug,https://www.youtube.com/channel/UCbhw4rVB_B-regoPx1vyGug,youtube_search,high
쁘 허,8130c3d98b5701a5ca5500b0a8aa4b35,20k-50k,true,UCtCnnCUn9IDDQRU9_04JD3g,https://www.youtube.com/channel/UCtCnnCUn9IDDQRU9_04JD3g,youtube_search,high
김똘복,57fd052838434874068eafdd2cb581b3,20k-50k,true,UC8kgAdc_ZfQAZwBkQ-Rummg,https://www.youtube.com/channel/UC8kgAdc_ZfQAZwBkQ-Rummg,youtube_search,high
오화요 Ohwayo,65a53076fe1a39636082dd6dba8b8a4b,20k-50k,true,UC1RdgfinRXTboGZLZ4xG5Aw,https://www.youtube.com/channel/UC1RdgfinRXTboGZLZ4xG5Aw,youtube_search,high
블레어 로즈,dae2de8eaa005a59163f2e4c045e1aa1,20k-50k,true,UC4RqkMZg4xRy0gWizubvPLw,https://www.youtube.com/channel/UC4RqkMZg4xRy0gWizubvPLw,youtube_search,medium
쩡혁,ad58c752aef8b249ac3c7b6e5276ebe6,20k-50k,true,UCuTC2vXUwSXK9Krrq0SiU6g,https://www.youtube.com/channel/UCuTC2vXUwSXK9Krrq0SiU6g,youtube_search,medium
형 독,aeb5b654cad7a2c0a0e6633a6d6de4aa,20k-50k,true,UCJDEss5wA1ddrCBC40giO8A,https://www.youtube.com/channel/UCJDEss5wA1ddrCBC40giO8A,youtube_search,medium
RED레드,a96cea2d2c39cec636ba8170c66a0510,20k-50k,true,UCuBY91pXJqh0pkZ7bU_s_uw,https://www.youtube.com/channel/UCuBY91pXJqh0pkZ7bU_s_uw,youtube_search,high
담유이,b82e8bc2505e37156b2d1140ba1fc05c,20k-50k,true,UCspP5me4IJnNY2y2zektYAA,https://www.youtube.com/channel/UCspP5me4IJnNY2y2zektYAA,youtube_search,medium
스즈 SUZU,aa66ed6da9e203c26807c0cd3579983a,20k-50k,true,UCLZ_HbPU_m2ELKyb3hdIuDQ,https://www.youtube.com/channel/UCLZ_HbPU_m2ELKyb3hdIuDQ,youtube_search,high
루이쨘,0aea99d7015373c158d60a7d26bb743a,20k-50k,true,UCCpazYA_-FW8YygyTLHUn-w,https://www.youtube.com/channel/UCCpazYA_-FW8YygyTLHUn-w,youtube_search,high
니니아,f00f6d46ecc6d735b96ecf376b9e5212,20k-50k,true,UCCs6PUrVAbCaN0xuQ35qiLQ,https://www.youtube.com/channel/UCCs6PUrVAbCaN0xuQ35qiLQ,youtube_search,medium
모치즈키 카에데,4885cc52d10d534564057267b8e380be,20k-50k,true,UCqhPc90p1J0o_GfEhhQhlbA,https://www.youtube.com/channel/UCqhPc90p1J0o_GfEhhQhlbA,youtube_search,medium
