시작 시간,종료 시간,카테고리,연령,시작제목,방송 시간,최고 시청자,평균 시청자,전체 채팅수,팔로워 증감,구독자 증감
2026.06.15(월) 14:59:50,2026.06.15(월) 21:00:00,젤다의 전설 티어스 오브 더 킹덤|talk,전체,오늘 진짜 덥다이.. 🐵 ,6.002777777777778,28,22.716666666666665,2300,2,
2026.06.14(일) 12:58:29,2026.06.14(일) 20:36:00,사이버펑크 2077|talk,성인,일요일이야~! 🐵 ,7.625277777777778,22,15.987012987012987,368,1,
2026.06.13(토) 12:59:56,2026.06.13(토) 19:36:00,사이버펑크 2077|talk,성인,늦게 일어난 꾸숭이.. 🐵 ,6.601111111111111,22,16.90909090909091,533,0,
2026.06.12(금) 14:57:18,2026.06.12(금) 22:00:00,다크 소울 2|talk,전체,히히히🐵 ,7.045,27,19.859154929577464,3116,0,
2026.06.10(수) 14:57:10,2026.06.10(수) 21:42:00,사이버펑크 2077|talk,성인,닌다 기대된다! 🐵 ,6.747222222222222,23,15.485294117647058,993,2,
2026.06.08(월) 14:57:32,2026.06.08(월) 22:12:00,명조:워더링 웨이브|사이버펑크 2077: 팬텀 리버티|talk,성인,오늘 해야할것이 많다이.. 🐵 ,7.2411111111111115,23,16.589041095890412,1912,0,
2026.06.06(토) 12:59:23,2026.06.06(토) 20:30:00,사이버펑크 2077: 팬텀 리버티|talk,성인,팬티리버티 4일차 진짜 스토리만 민다 🐵 ,7.510277777777778,22,16.75,1079,-1,
2026.06.05(금) 14:57:39,2026.06.05(금) 23:00:00,사이버펑크 2077: 팬텀 리버티|talk,성인,오늘 진짜 진득하게 사펑만 한다 🐵 ,8.039166666666667,28,18.950617283950617,1010,0,
2026.06.04(목) 14:56:18,2026.06.04(목) 22:30:00,사이버펑크 2077: 팬텀 리버티|talk|귀무자 Way of the Sword,성인,state of play 게임 영상들 보기!  🐵 ,7.5616666666666665,25,17.68421052631579,1715,2,
2026.06.02(화) 14:56:12,2026.06.02(화) 22:30:00,사이버펑크 2077: 팬텀 리버티|talk,성인,축축한 뚱이가 돼.. 🐵 ,7.5633333333333335,21,15.723684210526315,688,0,
2026.06.01(월) 14:55:29,2026.06.01(월) 22:12:00,talk,성인,오늘 황해 볼 지 고민중~! 🐵 ,7.275277777777778,52,25.56164383561644,1107,11,
2026.05.30(토) 12:59:17,2026.05.30(토) 20:48:00,명조:워더링 웨이브|talk,전체,토요일의 꾸! 🐵 ,7.811944444444444,21,17,1817,0,
2026.05.29(금) 14:59:15,2026.05.29(금) 21:54:00,명조:워더링 웨이브|talk,전체,더워잉 🐵 ,6.9125,19,12.2,1900,1,
2026.05.28(목) 15:00:46,2026.05.28(목) 21:36:00,사이버펑크 2077|사이버펑크 2077: 팬텀 리버티|talk,성인,오늘 무슨 요일이지..? 🐵 ,6.5872222222222225,21,14.393939393939394,1896,3,
2026.05.27(수) 15:02:08,2026.05.27(수) 22:06:00,사이버펑크 2077|talk,성인,축축한 개구리가 될 것 같어잉 🐵 ,7.064444444444445,25,16.704225352112676,319,1,
2026.05.25(월) 15:00:07,2026.05.25(월) 22:30:00,사이버펑크 2077|talk,성인,오늘 너무 더워잉 🐵 ,7.498055555555555,22,17.30666666666667,414,1,
2026.05.24(일) 13:05:07,2026.05.24(일) 21:00:00,데드 애즈 디스코|명조:워더링 웨이브|사이버펑크 2077|talk,성인,이제 나 일요일 오는거 익슉해요~! 🐵 ,7.914722222222222,26,14.5125,880,3,
2026.05.23(토) 13:03:56,2026.05.23(토) 20:48:00,명조:워더링 웨이브|talk,전체,토요일 안녕이야~! 🐵 ,7.734444444444445,19,12.192307692307692,1345,0,
2026.05.22(금) 15:04:10,2026.05.22(금) 22:12:00,사이버펑크 2077|talk,성인,호에엥 병약 미소녀짱이에우~! 🐵 ,7.1305555555555555,27,19.88888888888889,526,6,
2026.05.19(화) 15:03:49,2026.05.19(화) 22:06:00,사이버펑크 2077|talk,성인,완전 여름이야~! 🐵 ,7.036388888888889,22,15.71830985915493,602,3,
2026.05.18(월) 19:53:17,2026.05.18(월) 21:24:00,talk,전체,마무리~! 🐵 ,1.5119444444444443,32,26,646,-1,
2026.05.18(월) 15:00:45,2026.05.18(월) 19:48:00,talk,전체,3시 30분 부터 파워 디지몬 엔딩까지! 🐵 ,4.7875,67,42.229166666666664,2136,3,
2026.05.17(일) 13:01:57,2026.05.17(일) 19:24:00,talk,전체,1시 30분 파워 디지몬 22화부터~! 🐵 ,6.3675,51,34.359375,1940,4,
2026.05.16(토) 13:04:38,2026.05.16(토) 20:54:00,talk,전체,1시 30분 부터 파워 디지몬 같이보기 🐵 ,7.822777777777778,47,24.79746835443038,2256,12,
2026.05.14(목) 15:04:58,2026.05.14(목) 22:24:00,명조:워더링 웨이브|오버워치|talk,전체,헉 늦었따 🐵 ,7.317222222222222,23,13.027027027027026,707,5,
2026.05.13(수) 15:01:36,2026.05.13(수) 22:12:00,명조:워더링 웨이브|오버워치|talk,전체,완전 여름이자너~! 🐵 ,7.173333333333333,33,16.02777777777778,1116,3,
2026.05.12(화) 15:01:19,2026.05.12(화) 22:18:00,명조:워더링 웨이브|talk,전체,화요일의 꾸숭이! 🐵 ,7.2780555555555555,18,11.876712328767123,918,1,
2026.05.09(토) 13:03:20,2026.05.09(토) 19:30:00,명조:워더링 웨이브|talk,전체,토요일 낮의 꾸숭이~! 🐵 ,6.444444444444445,20,13.2,749,1,
2026.05.08(금) 15:03:16,2026.05.08(금) 21:48:00,명조:워더링 웨이브|talk,전체,안녕이야~! 🐵 ,6.745555555555556,26,18.779411764705884,1609,3,
2026.05.07(목) 15:04:22,2026.05.07(목) 22:12:00,명조:워더링 웨이브|talk,전체,배불러서 힘들어잉 🐵 ,7.127222222222223,24,16.15277777777778,1518,4,
2026.05.06(수) 15:04:49,2026.05.06(수) 21:18:00,명조:워더링 웨이브|talk,전체,나 머리 했어! 🐵 ,6.219722222222222,26,16.19047619047619,1282,1,
2026.05.05(화) 15:00:38,2026.05.05(화) 21:54:00,종합 게임|명조:워더링 웨이브|talk,전체,어린이들이 많아서.. 이 할미는 기뻐요.. 홀홀.. 🐵 ,6.889444444444444,34,17.942028985507246,1782,7,
2026.05.02(토) 13:03:14,2026.05.02(토) 20:36:00,명조:워더링 웨이브|talk,전체,휴방만 하면 아픈 사람.. 🐵 ,7.546111111111111,36,21.05263157894737,1541,6,
2026.04.30(목) 20:25:41,2026.04.30(목) 21:24:00,talk,전체,헉! 🐵 ,0.9719444444444445,15,13.7,247,1,
2026.04.30(목) 15:03:24,2026.04.30(목) 20:18:00,이환|talk,전체,게으른 꾸 와따 🐵 ,5.243333333333333,19,13.056603773584905,1217,1,
2026.04.29(수) 13:01:32,2026.04.29(수) 18:54:00,이환|talk,전체,이환 찍먹해보기! 🐵 ,5.874444444444444,17,12.11864406779661,1379,0,
2026.04.28(화) 15:04:01,2026.04.28(화) 22:00:00,붉은사막|talk,전체,안녕안녕이야~! 🐵 ,6.933055555555556,26,16.37142857142857,1470,0,
2026.04.27(월) 15:03:35,2026.04.27(월) 21:36:00,붉은사막|talk,전체,낮의 꾸숭이 와따 🐵 ,6.540277777777778,27,20.984848484848484,1710,1,
2026.04.26(일) 13:03:53,2026.04.26(일) 19:18:00,붉은사막|talk,전체,일요일에 늦잠 잔 꾸.. 🐵 ,6.235277777777778,43,24.80952380952381,1650,0,
2026.04.25(토) 13:04:24,2026.04.25(토) 19:06:00,붉은사막|talk,전체,낮의 원숭이 꾸 와따 🐵 ,6.026666666666666,20,13.704918032786885,1346,0,
2026.04.24(금) 15:03:20,2026.04.24(금) 22:18:00,붉은사막|talk,전체,배부른 꾸돼지 와따 🐵 ,7.2444444444444445,38,19.232876712328768,1866,3,
2026.04.23(목) 15:03:29,2026.04.23(목) 21:54:00,프래그마타|talk,전체,나른한 3시의 꾸~! 🐵 ,6.841944444444445,18,13.434782608695652,1533,-1,
2026.04.21(화) 15:03:29,2026.04.21(화) 21:00:00,프래그마타|talk,전체,낮의 꾸원숭이 와따 🐵 ,5.941944444444444,18,13.883333333333333,1261,0,
2026.04.19(일) 16:59:28,2026.04.19(일) 22:00:00,포탈|talk,전체,깜짝 휴방 방송 (짧) 🐵 ,5.0088888888888885,29,19.470588235294116,1670,0,
2026.04.18(토) 13:03:09,2026.04.18(토) 15:42:00,talk,전체,낮의 꾸원숭이 왔따구! 🐵 ,2.6475,24,18.14814814814815,1546,1,
2026.04.17(금) 13:01:49,2026.04.17(금) 19:48:00,프래그마타|talk,전체,프레그마타 1시부터! 퍼즐과 멀티의 신 간닷! 🐵 ,6.769722222222223,16,11.882352941176471,1230,0,
2026.04.16(목) 17:00:37,2026.04.16(목) 21:54:00,붉은사막|talk,전체,부활~!~! 🐵 ,4.889722222222222,24,16.73469387755102,1355,1,
2026.04.13(월) 17:00:59,2026.04.13(월) 17:48:00,talk,전체,진짜 진짜 진짜 진짜 짧뱅 + 휴방?? 🐵 ,0.7836111111111111,14,10.5,262,0,
2026.04.11(토) 15:41:55,2026.04.11(토) 18:54:00,컵헤드|록맨 X 애니버서리 컬렉션,전체,1일 1보스 죽이기 3일차 🐵 ,3.201388888888889,24,18.90625,1326,0,
2026.04.11(토) 13:03:56,2026.04.11(토) 15:36:00,talk,성인,은밀한 매력의 여교수 1시 30분 부터 같이보기 🐵 ,2.5344444444444445,42,26.615384615384617,211,7,
2026.04.10(금) 17:03:17,2026.04.10(금) 22:00:00,컵헤드|슬레이 더 스파이어 2|talk,전체,금요일이닭! 🐵 ,4.945277777777778,23,16.52,1487,1,
2026.04.09(목) 17:02:35,2026.04.09(목) 22:42:00,붉은사막|슬레이 더 스파이어 2|talk,전체,돌도 씹어먹을 나이 🐵 ,5.656944444444444,19,12.456140350877194,940,1,
